t,x,y,z
4.094,0.0,0.0,0.0
4.124,0.0,0.0,0.0
4.137,0.0,0.0,0.0
4.164,0.0,0.0,0.0
4.191,0.0,0.0,0.0
4.219,0.0,0.0,0.0
4.248,0.0,0.0,0.0
4.281,0.0,0.0,0.0
4.327,0.0,0.0,0.0
4.373,0.0,0.0,0.0
4.421,0.0,0.0,0.0
4.457,0.0,0.0,0.0
4.500,0.0,0.0,0.0
4.536,0.0,0.0,0.0
4.568,0.0,0.0,0.0
4.597,0.0,0.0,0.0
4.620,0.0,0.0,0.0
4.646,0.0,0.0,0.0
4.678,0.0,0.0,0.0
4.710,0.0,0.0,0.0
4.739,0.0,0.0,0.0
4.778,0.0,0.0,0.0
4.814,0.0,0.0,0.0
4.859,0.0,0.0,0.0
4.901,0.0,0.0,0.0
4.940,0.0,0.0,0.0
4.986,0.0,0.0,0.0
5.020,0.0,0.0,0.0
5.060,0.0,0.0,0.0
5.103,0.0,0.0,0.0
5.134,0.0,0.0,0.0
5.172,0.0,0.0,0.0
5.201,0.0,0.0,0.0
5.248,0.0,0.0,0.0
5.277,0.0,0.0,0.0
5.314,0.0,0.0,0.0
5.352,0.0,0.0,0.0
5.386,0.0,0.0,0.0
5.436,0.0,0.0,0.0
5.472,0.0,0.0,0.0
5.510,0.0,0.0,0.0
5.552,0.0,0.0,0.0
5.588,0.0,0.0,0.0
5.629,0.0,0.0,0.0
5.654,0.0,0.0,0.0
5.689,0.0,0.0,0.0
5.720,0.0,0.0,0.0
5.768,0.0,0.0,0.0
5.798,0.0,0.0,0.0
5.838,0.0,0.0,0.0
5.881,0.0,0.0,0.0
5.921,0.0,0.0,0.0
5.955,0.0,0.0,0.0
5.983,0.0,0.0,0.0
6.029,0.0,0.0,0.0
6.050,0.0,0.0,0.0
6.100,0.0,0.0,0.0
6.124,0.0,0.0,0.0
6.150,0.0,0.0,0.0
6.182,0.0,0.0,0.0
6.214,0.0,0.0,0.0
6.248,0.0,0.0,0.0
6.271,0.0,0.0,0.0
6.307,0.0,0.0,0.0
6.344,0.0,0.0,0.0
6.379,0.0,0.0,0.0
6.411,0.0,0.0,0.0
6.446,0.0,0.0,0.0
6.481,0.0,0.0,0.0
6.513,0.0,0.0,0.0
6.542,0.0,0.0,0.0
6.577,0.0,0.0,0.0
6.610,0.0,0.0,0.0
6.644,0.0,0.0,0.0
6.682,0.0,0.0,0.0
6.717,0.0,0.0,0.0
6.752,0.0,0.0,0.0
6.786,0.0,0.0,0.0
6.823,0.0,0.0,0.0
6.858,0.0,0.0,0.0
6.892,0.0,0.0,0.0
6.923,0.0,0.0,0.0
6.953,0.0,0.0,0.0
6.989,0.0,0.0,0.0
7.034,0.0,0.0,0.0
7.073,0.0,0.0,0.0
7.109,0.0,0.0,0.0
7.140,0.0,0.0,0.0
7.173,0.0,0.0,0.0
7.210,0.0,0.0,0.0
7.253,0.0,0.0,0.0
7.284,0.0,0.0,0.0
7.317,0.0,0.0,0.0
7.329,0.0,0.0,0.0
7.350,0.0,0.0,0.0
7.378,0.0,0.0,0.0
7.421,0.0,0.0,0.0
7.453,0.0,0.0,0.0
7.486,0.0,0.0,0.0
7.522,0.0,0.0,0.0
7.552,0.0,0.0,0.0
7.585,0.0,0.0,0.0
7.624,0.0,0.0,0.0
7.665,0.0,0.0,0.0
7.712,0.0,0.0,0.0
7.752,0.0,0.0,0.0
7.784,0.0,0.0,0.0
7.821,0.0,0.0,0.0
7.869,0.0,0.0,0.0
7.912,0.0,0.0,0.0
7.945,0.0,0.0,0.0
7.996,0.0,0.0,0.0
8.043,0.0,0.0,0.0
8.090,0.0,0.0,0.0
8.134,0.0,0.0,0.0
8.166,0.0,0.0,0.0
8.212,0.0,0.0,0.0
8.249,0.0,0.0,0.0
8.284,0.0,0.0,0.0
8.312,0.0,0.0,0.0
8.334,0.0,0.0,0.0
8.367,0.0,0.0,0.0
8.406,0.0,0.0,0.0
8.440,0.0,0.0,0.0
8.476,0.0,0.0,0.0
8.516,0.0,0.0,0.0
8.554,0.0,0.0,0.0
8.588,0.0,0.0,0.0
8.628,0.0,0.0,0.0
8.679,0.0,0.0,0.0
8.722,0.0,0.0,0.0
8.761,0.0,0.0,0.0
8.800,0.0,0.0,0.0
8.844,0.0,0.0,0.0
8.887,0.0,0.0,0.0
8.930,0.0,0.0,0.0
8.975,0.0,0.0,0.0
9.017,0.0,0.0,0.0
9.057,0.0,0.0,0.0
9.097,0.0,0.0,0.0
9.132,0.0,0.0,0.0
9.177,0.0,0.0,0.0
9.210,0.0,0.0,0.0
